ref,address,eircode,electoral_area,valuation,ds_x,ds_y
"DS-038-21","18 & 26 Lower Gerald Griffin Street, Limerick","","Limerick City North","350000","558000","656993"
"DS-007-21","13 The Hawthorns, Ballyagran, Co. Limerick","","Newcastle West","135000","546819","628197"
"DS-040-21","Parkside, 19 Clare Street, Limerick","V94 T9NX","Limerick City North","130000","558363","657404"
"DS-039-21","28 St. Lelia Street, Limerick","V94 W0FD","Limerick City North","70000","558354","657419"
"DS-103-19","Mulcair Drive, Annacotty, Co. Limerick.","","Limerick City East","125000","564107","657669"
"DS-045-21","10 Lower Hartstonge Street, Limerick V94 AP60","V94 AP60","Limerick City West","200000","557197","656692"
"DS-098-19","7 O'Dwyer Villas, Thomondgate, Limerick V94 PC5D","V94 PC5D","Limerick City North","90000","557434","658053"
"DS-027-20","Rockmount, O'Donoghue Avenue, Janesboro, Limerick V94 DV58","V94 DV58","Limerick City East","80000","558224","655723"
"DS-001-21","Wolfe Tone Street, Kilmallock, Co. Limerick","","Cappamore/Kilmallock","25000","560983","627788"
"DS-015-21","Bridge Street, Croom, Co. Limerick","","Adare/Rathkeale","60000","551277","641097"
"DS-016-21","Bridge Street, Croom, Co. Limerick","","Adare/Rathkeale","60000","551282","641099"
"DS-017-21","Bridge Street, Croom, Co. Limerick","","Adare/Rathkeale","60000","551289","641097"
"DS-029-21","157 Hyde Road, Prospect, Limerick V94 P6KF","V94 P6KF","Limerick City East","40000","557746","656140"
"DS-137-20","The Hill, Abbeyfeale, Co. Limerick","","Newcastle West","30000","511135","624890"
"DS-192-20","Kilcornan House, Kilcornan, Co. Limerick","","Adare/Rathkeale","160000","540568","652315"
"DS-194-20","Church Street, Rathkeale, Co. Limerick","V94KW67","Adare/Rathkeale","100000","536010","641391"
"DS-012-19","Main Street, Athea, Co. Limerick","V94XH64","Newcastle West","","512313","635176"
"DS-052-21","Spitalland, Old Cork Road, Limerick","","Limerick City East","125000","558853","656004"
"DS-053-21","Ballyphillip, Bruree, Co. Limerick","","Adare/Rathkeale","70000","552845","634793"
"DS-075-21","Daly's Cross, Collreiry, Co. Limerick","","Limerick City East","40000","566817","662123"
"DS-092-20","Monaster North, Croom, Co. Limerick","V35 D437","Adare/Rathkeale","35000","554456","641286"
"DS-020-21","Lower Main Street, Kilfinane, Co. Limerick","V35 X386","Cappamore/Kilmallock","45000","568173","623207"
"DS-081-21","90 Hyde Road, Prospect, Limerick","V94 PT1H","Limerick City West","25000","557663","656026"
"DS-114-21","20 Rossa Avenue, Garryowen, Limerick","V94 V08C","Limerick City North","100000","558301","656758"
"DS-151-20","L1152, Old Pallas, Co. Limerick","","Cappamore/Kilmallock","70000","575974","644234"
"DS-146-20","Tipperary Road, Castlelloyd, Oola, Co. Limerick","","Cappamore/Kilmallock","70000","581856","642698"
"DS-008-21","Main Street, Croom, Co. Limerick","","Adare/Rathkeale","50000","551297","641200"
"DS-054-21","Shines, 4 Lower Gerald Griffin Street,","","Limerick City North","70000","557940","656934"
"DS-055-21","3,4 Lower Gerald Griffin Street, Limerick","V94 Y01P","Limerick City North","150000","557934","656931"
