ref,address,eircode,electoral_area,valuation,ds_x,ds_y
"DS-111-23","52 Upper William Street, Limerick","V94 D9X5","Limerick City East","200000","557878","656937"
"DS-144-23","Ballymore, Askeaton, Co. Limerick","V94 KA4V","Adare/Rathkeale","35000","534663","650554"
"DS-007-24","Shanagolden Creamery, Co. Limerick","V94 P8C9","Adare/Rathkeale","85000","525368","647612"
"DS-061-24","Carraward East, Dromcollogher, Co. Limerick","","Newcastle West","70000","538434","621116"
"DS-117-23","Rochestown, Fedamore, Co. Limerick","V35 T771","Adare/Rathkeale","60000","562531","646125"
"DS-131-23","Main Street, Patrickswell, Co. Limerick","V94 WK13","Limerick City West","130000","552020","649811"
"DS-023-24","Towerview, 6 Glenview Avenue, Farranshone, Limerick","V94C2DV","Limerick City North","250000","557146","657844"
"DS-055-24","Rigisifi, 223 Ballinacurra Gardens, Limerick","V94 AXR4","Limerick City North","307000","557219","654931"
"DS-068-23","Main Street, Castleconnell, Co. Limerick","V94 VY2D","Limerick City East","180000","566109","662666"
"DS-007-22","Bishop Street, Newcastle West, Co. Limerick","V42VK72","Newcastle West","140000","528061","633995"
"DS-026-22","Bishop Street, Newcastle West, Co. Limerick","","Newcastle West","75000","528056","633991"
"DS-072-21","Arra View, Newcastle West, Co. Limerick","","Newcastle West","100000","528103","632987"
"DS-056-23","Knockane, Newcastle West, Co. Limerick","","Newcastle West","135000","527962","633587"
"DS-041-24","34 Wickham Street, Limerick","","Limerick City West","20000","557793","656870"
"DS-071-24","36 Sheelin Road, Caherdavin, Limerick","V94 F72P","Limerick City North","230000","555072","658265"
"DS-072-24","38 Sheelin Road, Caherdavin, Limerick","V94 E7TP","Limerick City North","230000","555080","658259"
"DS-078-24","The Bridge, Ballingarry, Co. Limerick","V94 E2HY","Adare/Rathkeale","60000","541319","636260"
"DS-063-24","The Worrall's Inn, Main Street, Castleconnell, Co. Limerick","","Limerick City East","250000","566175","662617"
"DS-099-24","Knockbrien, Ballyneety, Co. Limerick","","Limerick City East","70000","562534","649619"
"DS-123-21","6 Arlington Villas, Mulgrave Street, Limerick","V94 K3VN","Limerick City North","185000","558433","656616"
"DS-103-20","Ballymacreese, Ballyneety, Co. Limerick","V94 85R2","Cappamore/Kilmallock","55000","563104","648615"
"DS-009-23","John's Street, Limerick","V94 PW66","Limerick City East","100000","558181","657120"
"DS-087-24","Cragmore, Askeaton, Co. Limerick","V94 E5WD","Adare/Rathkeale","55000","535139","650213"
"DS-103-23","Ballysteen, Co. Limerick V94 X8DY","V94 X8DY","Adare/Rathkeale","70000","535519","655439"
"DS-026-24","Ardmoyle, Carrigkerry, Co. Limerick","V94T4A9","Newcastle West","75000","521909","638691"
"DS-038-24","38 Johnsgate Village, Limerick","V94 YDD1","Limerick City North","135000","558202","657231"
"DS-050-24","1 Silver Birch Grove, Dooradoyle Road, Limerick","V94 XPF6","Limerick City West","520000","556259","654254"
"DS-056-24","Upper Carey's Road, Prior's Land, Limerick","V94 X778","Limerick City East","150000","558065","656247"
"DS-064-19","Cluain Foinse, Hospital, Co. Limerick","","Cappamore/Kilmallock","110000","571038","635946"
"DS-073-24","Friends of Bosnia, Roxboro Road, Limerick","","Limerick City East","30000","558271","655978"
"DS-031-24","10 Lelia Street, Limerick","V94 KRP1","Limerick City North","140000","558293","657248"
"DS-090-24","Brooklawn, Skagh, Croom, Co. Limerick","V35 E735","Adare/Rathkeale","205000","551261","642073"
"DS-016-25","Main Street, Askeaton, Co. Limerick","V94 C596","Adare/Rathkeale","155000","533913","650336"
"DS-045-25","Gortnaskehy, Tournafulla, Co. Limerick","V42 WK23","Newcastle West","70000","522094","624829"
"DS-069-25","Abbey View, Askeaton, Co. Limerick","","Adare/Rathkeale","40000","533904","650548"
"DS-070-25","Abbey View, Askeaton, Co. Limerick","","Adare/Rathkeale","30000","533852","650559"
"DS-074-24","Saint Mary's, Clashganniff, Shanagolden, Co. Limerick","V94 E44T","Adare/Rathkeale","75000","525842","646861"
"DS-084-24","Woodpark, Castleconnell, Co. Limerick","V94 CDT1","Limerick City East","160000","566640","661754"
"DS-078-25","Castlequarter, Fedamore, Co. Limerick","V35 TX67","Adare/Rathkeale","165000","559485","644081"
"DS-013-25","61 Griffith Avenue, Ballinacurra Weston, Limerick","V94 APK2","Limerick City West","150000","557363","655353"
"DS-175-22","Main Street, Kilfinane, Co. Limerick","V35 PY80","Cappamore/Kilmallock","120000","568038","623140"
"DS-150-20","Sunglen, Old Pallas, Pallasgreen, Co. Limerick","","Cappamore/Kilmallock","","",""
"DS-011-24","Main Street, Bruff, Co. Limerick","V35 R3H7","Cappamore/Kilmallock","","",""
"DS-071-25","8 Nicker Street, Pallasgreen, Co. Limerick","V94 Y5AK","Cappamore/Kilmallock","","",""
"DS-111-25","72 Abbey Vale, Corbally, Limerick","V94 DPY7","Limerick City North","","",""
"DS-087-25","16 Pinewood, Caherdavin, Limerick","V94 RHC0","Limerick City North","","",""
"DS-050-25","","","Limerick City East","","",""
"DS-100-22","Hassetts Cross, Limerick","V94 FT95","Limerick City North","","",""
"DS-019-24","Upper Main Street, Rathkeale, Co. Limerick","V94 F8NE","Adare/Rathkeale","","",""
"DS-057-25","Main Street, Rathkeale, Co. Limerick","V94 H76W","Adare/Rathkeale","","",""
"DS-058-25","Main Street, Rathkeale, Co. Limerick","","Adare/Rathkeale","","",""
"DS-080-25","Church Street, Dromcollogher, Co. Limerick","","Newcastle West","","",""
"DS-076-23","Old Road, Oolahills West, Oola, Co. Limerick","","Cappamore/Kilmallock","","",""
"DS-081-25","Ballycormack, Shanagolden, Co. Limerick","V94 Y0HN","Adare/Rathkeale","","",""
"DS-098-25","Dublin Road/Hillcroft Site, Limerick","","Limerick City East","","",""
"DS-005-25","Tierney's, Roxboro Stores, Roxboro Road, Priors Land, Limerick","V94 XWX3","Limerick City East","","",""
"DS-025-25","Cuirt na hAbhainn, Clarina, Co. Limerick","","Limerick City West","","",""
"DS-074-23","Barna, Pallasgreen, Co. Limerick","V94 D9FH","Cappamore/Kilmallock","","",""
"DS-022-24","4 Main Street, Bruree, Limerick","V35 F210","Cappamore/Kilmallock","","",""
"DS-029-20","Main Street, Patrickswell, Co. Limerick","","Limerick City West","","",""
"DS-127-22","Pallas, Kilmeedy, Co. Limerick","V42 W682","Newcastle West","","",""
"DS-025-26","Carrowkeel, Lisnagry, Co. Limerick","V94 RWF9","Limerick City East","","",""
