ref,address,date_entered,valuation
"DS/113","Corner of Church Hill and Weaver’s Square, Baltinglass, Co. Wicklow","2016-12-15","100000"
"DS/164","Lands located on Mill Street, Baltinglass, Co. Wicklow","2023-11-17","50000"
