ref,address,eircode,date_entered,valuation
"DSR/2025/001","No. 78 Lower Main Street, Letterkenny, Co. Donegal F92HWD8.","F92 HWD8","2025-01-31",""
"DSR/2025/002","No. 80 Lower Main Street, Letterkenny, Co. Donegal F92YV38.","F92 YV38","2025-01-31",""
"DSR/2025/003","No. 88 Lower Main Street, Letterkenny, Co. Donegal","","2025-01-31",""
"DSR/2025/004","Former Scally Surgery (F92 RK19) & Dwelling (F92 NP52), Castle Street, Letterkenny,Co. Donegal.","F92 RK19","2025-03-06",""
"DSR/2025/005","No. 52 Lower Main Street, Letterkenny, Co. Donegal.","","2025-11-17",""
"DS 46(D)","Condon Building, Mall, Ballyshannon","","",""
"DS 53 (S)","Cloghan","","",""
"DS 77 & 78 (I)","Carrowreagh, Bridgend","","",""
"DS 100 (I)","Old Mill, Millbrae, Buncrana","","",""
