ref,address,eircode,date_entered,valuation
"DER2023-096","1 Templeshannon, Enniscorthy, Co. Wexford","","2024-03-07",""
"DER2023-075","23 High Hill Street, New Ross","","2023-12-20","150000"
"DER2022-039","56 Bewley Street, New Ross, Co. Wexford","","2023-12-19",""
"DER2022-047","25 John Street, New Ross","","2023-12-19",""
"DER2023-010","Steele & Co. Limited, Priory Street, New Ross","","2023-12-19","600000"
"DER2022-023","Church View, 41 Lower John Street, Wexford","","2023-12-14","70000"
"DER2023-043","Crossroads Foodstore, Wygram Heights, Wexford","","2023-12-14","200000"
"DER2023-021","111 North Main Street, Wexford","","2023-12-11","230000"
"DER2023-055","9 Peter Street, Wexford","","2023-12-11","90000"
"DER2023-081","16 Saint Michael's Place, Gorey, Co. Wexford","","2023-11-16","110000"
"DER2023-037","27 Saint Aidan's Villas, Enniscorthy, Co. Wexford","","2023-11-07",""
"DER2020-020","Kiltennel Church Gatelodge, Courtown, Gorey, Co. Wexford","","2023-10-11","100000"
"DER2022-002","Barnadown Upper, Gorey, Co. Wexford","","2023-10-11","70000"
"DER2023-030","Former Nightclub, Templeshannon, Enniscorthy, Co. Wexford","","2023-09-12","450000"
"DER2023-039","Riverview House, Templeshannon, Enniscorthy, Co. Wexford","","2023-09-12","150000"
"DER2022-022","47 Charleton Hill, New Ross, Co. Wexford","","2023-08-18","80000"
"DER2022-025","Chapel Lane, Kyle, Oulart, Co. Wexford","","2023-08-18","140000"
"DER2022-034","Former Ann's Hair Salon, Main Street, Taghmon, Co. Wexford","","2023-07-04","100000"
"DER2022-037","55 Davitt Road South, Wexford","","2023-06-26","150000"
"DER2022-031","Site (B) Mauritiustown, Rosslare Strand, Co. Wexford","","2023-03-27",""
"DER2020-043","Ballycanew Grove, Ballycanew, Co. Wexford","","2023-02-20","150000"
"DER2021-009","1-5 The Old Creamery, Ballycanew, Gorey, Co. Wexford","","2023-02-20","500000"
"DER2020-019","6 St. Munns Villas, Main Street, Taghmon, Co. Wexford","","2023-02-13",""
"DER2020-024","Clonhenret House, Clonhenret, Camolin, Co. Wexford","","2023-02-13","150000"
"DER2020-012","Templeshannon, Enniscorthy, Co. Wexford","","2023-01-20","130000"
"DER2022-033","Former Bike Shop, Priory Street, New Ross, Co. Wexford","","2023-01-20","80000"
"DER2020-039","Old Thatched Cottage, Ballyedmond Village, Ballyedmond, Co. Wexford","","2022-11-18","40000"
"DER2018-020","10 Beachwalk, Seafield, Ballymoney, Courtown, Co. Wexford","","2022-09-27","400000"
"DER2021-054","The Old Garage, The Quay, New Ross, Co. Wexford","","2022-06-29","350000"
"DER2020-034","Portersgate, Fethard-on-Sea, New Ross, Co. Wexford","","2022-03-16","90000"
"DER2021-041","20 Mansfield Drive, Wexford","","2022-03-03","185000"
"DER2021-043","54 Whiterock View, Wexford","","2022-03-03","90000"
"DER2021-037","Chilcomb House, Schoolhouse Road, New Ross, Co. Wexford","","2022-01-29","30000"
"DER2020-040","The Old Dispensary, Ballyedmond Village, Co. Wexford","","2022-01-28","40000"
"DER2018-023","Main Street, Fethard on Sea, Co. Wexford","","2021-10-22","100000"
"DER2019-010","23 North Street, New Ross, Co. Wexford","","2021-09-24","150000"
"DER2019-013","12 Quay Street, New Ross, Co. Wexford","","2021-09-24","40000"
"DER2021-018","Clongaddy, Kilmore, Co. Wexford","","2021-09-24","30000"
"DER2021-019","8 Mary Street Upper, New Ross, Co. Wexford","","2021-07-28","50000"
"DER2021-021","7 Mary Street Upper, New Ross, Co. Wexford","","2021-07-28","50000"
"DER2021-022","10 Mary Street Upper, New Ross, Co. Wexford","","2021-07-28","140000"
"DER2019-016","1 Centenary Place, Gorey, Co. Wexford","","2021-04-09","100000"
"DER2014-001","16 Chapel Lane, New Ross, Co. Wexford","","2021-02-05","25000"
"DER2020-003","16 Haughton Place, New Ross, Co. Wexford","","2021-02-05","15000"
"DER2020-026","32 Silverdale, Kilmuckridge, Co. Wexford","","2020-09-22","100000"
"DER2020-013","BumbleBee Licensed Premises, Priory Street, New Ross, Co. Wexford","","2020-09-11","40000"
"DER2020-014","Priory Street (adj. to Bumblebee), New Ross, Co. Wexford","","2020-09-11","30000"
"DER2020-001","34 Island Road, Enniscorthy, Co. Wexford","","2020-06-03","40000"
"DER2018-010","Sunset House, Rosslare Strand, Co. Wexford","","2019-12-19","200000"
"DER2018-022","The Old House, 6 Templeshannon, Enniscorthy, Co. Wexford","","2019-12-18","100000"
"DER2019-007","The Oil, Oylgate, Co. Wexford","","2019-12-10","120000"
"DER2017-007","The Former Great Southern Hotel, Rosslare Harbour, Co. Wexford","","2019-02-01","550000"
"DER2018-025","15 Railway Road, Gorey, Co. Wexford","","2018-12-13","70000"
"DER2018-004","Ailsa House, St. Martin's Road, Rosslare Harbour,Co. Wexford","","2018-07-17","150000"
"DER2017-017","Kickham's House, Enniscorthy, Co. Wexford","","2018-07-10","70000"
"DER2017-010","St. Martin's Road, Rosslare, Co. Wexford","","2018-06-22","70000"
"DER2018-006","Former Murphy Flood's, Enniscorthy, Co. Wexford","","2018-06-19","180000"
"DER2017-011","7 Old Garden City, Gorey, Co. Wexford","","2017-12-19","50000"
"DER2016-028","Cherryorchard, Enniscorthy, Co. Wexford","","2017-09-20","60000"
"DER2017-003","7 Grotto Terrace, Kilmuckridge, Co. Wexford","","2017-05-31","40000"
"DER2016-037","16 Carrigeen St, Wexford","","2017-03-14","100000"
"DER2016-029","4 John Street, Wexford (John St/John's Road)","","2017-01-06","60000"
"DER2016-006","Cobblers Cottage, Main Street, Coolgreany, Co. Wexford","","2016-05-10","50000"
"DER2016-007","Main Street, Coolgreany, Co. Wexford","","2016-05-10","50000"
"DER2016-004","Spring Valley Nursing Home, Enniscorthy, Co. Wexford","","2016-04-26","450000"
"DER2015-038","The Lodges, Parknacross, Courtown, Co. Wexford","","2015-09-29","200000"
"DER2014-013","Rocks Factory (Formerly Breens Carriage Factory), Templeshannon, Enniscorthy, Co. Wexford","","2014-12-23","130000"
"DER2015-003","8 Eire Street, Gorey, Co. Wexford","","2014-12-05","50000"
"DER2014-027","67 Upper John Street, Wexford","","2014-05-28","70000"
"DER2014-004","Harneys Shoe Repairs, 4 John Street, New Ross, Co. Wexford","","2010-12-20","30000"
"DER2014-019","10 Peter Street, Wexford","","2010-03-03","80000"
"DER2014-002","Gladneys Licenced Premises, 5 John Street, New Ross, Co. Wexford","","2008-09-12","25000"
"DER2014-017","5a Mary Street, Wexford","","2004-10-05","15000"
"DER2014-016","2a Mary Street, Wexford","","2004-01-28","22000"
