ref,address,eircode,date_entered,valuation
"DS147","17 Pairc Mhuire Bagenalstown Co. Carlow, Muinebheag","","2015-12-02","120000"
"DS172","Piers & Cottage, Burton Hall, Palatine Co. Carlow","","2020-09-29","150000"
"DS182","Tullow Motor Factors Building, Church Street, Tullow, Co. Carlow.","","2019-02-13","80000"
"DS207","3-5 Charlotte Street, Carlow","","2020-11-18","220000"
"DS219","Lamberts Hardware Corner of Main St and Mill St Hacketstown, Tullow, Co. Carlow","","2021-11-22","175000"
"DS222","Properties at Green Lane (Shamrock Plaza), Staplestown Road and Pollerton Road Junction, Carlow","","2021-08-23","720000"
"DS251","10 Brown Street, Carlow","","2025-11-13","53300"
"DS252","11 Brown Street, Carlow","","2025-11-13","219374"
"DS253","38 Father Murphy Terrace, Tullow, Co. Carlow","","2025-03-11","162000"
