ref,address,eircode,date_entered,valuation
"DS41/37","6 Ellison Street, Castlebar, Co Mayo F23 NH56","F23 NH56","2020-02-28","100000"
"DS41/40","""Ellison Street House"", Ellison Street, Castlebar, Co Mayo F23 HY10","F23 HY10","2020-02-28","300000"
"DS41/41","""Terraced House"", Tucker Street, Castlebar, Co Mayo","","2020-09-03","80000"
"DS41/42","""Unfinished House"", Station Road, Castlebar, Co Mayo","","2020-08-28","50000"
"DS41/44","50 McCormack Estate, Castlebar, Co Mayo F23 WK63","F23 WK63","2020-08-28","23000"
"DS41/45","Saleen Site (beside Cushlough), Saleen, Castlebar, Co Mayo","","2021-01-21","150000"
"DS41/48","Timlin House, Newport Road, Castlebar, Co Mayo","","2021-11-16","180000"
"DS41/53","5 Kennedy Gardens, Castlebar, Co Mayo F23 EH58","F23 EH58","2024-10-21",""
"DS2024/30","88 Springfield Court, Castlebar, Co Mayo F23 C567","F23 C567","2025-04-30",""
"DS2024/31","89 Springfield Court, Castlebar, Co Mayo F23 E863","F23 E863","2025-05-01",""
"DS2025/09","30 Riverdale Court, Castlebar, Co Mayo F23 EH51","F23 EH51","2025-05-06",""
"DS2025/10","3 Riverdale Court, Castlebar, Co Mayo F23 XR60","F23 XR60","2025-07-16","125000"
"DS2025/16","Hill House, Mountain View, Castlebar, Co Mayo, F23 WE16","F23 WE16","",""
"DS2025/48","79 Curragh, Castlebar, Co Mayo F23 HK53","F23 HK53","2025-12-15",""
"DS2025/51","12 Belvedere Court, Newtown, Castlebar, Co Mayo F23 CX29","F23 CX29","2025-12-15",""
"DS2025/63","Ashton, Spencer Park, Castlebar, Co Mayo F23 E261","F23 E261","2025-12-15",""
"DS2025/71","80 McHale Road, Castlebar, Co Mayo F23 WY46","F23 WY46","2028-02-20",""
"DS2025/27","Devanney's Bar, Lahardane, Co Mayo F26 CK77","F26 CK77","2025-07-18",""
"DS2025/66","Lahardane, Ballina, Co Mayo F26 P5X5","F26 P5X5","2025-12-15",""
"DS25/02","27 Ard Lugalisheen, Ballindine, Co Mayo","","2022-04-19","160000"
"DS25/03","26 Ard Lugalisheen, Ballindine, Co Mayo","","2022-04-19","130000"
"DS25/04","25 Ard Lugalisheen, Ballindine, Co Mayo","","2022-04-19","130000"
"DS25/05","24 Ard Lugalisheen, Ballindine, Co Mayo","","2022-04-19","130000"
"DS2025/28","4 Ard Lugalisheen, Ballindine, Co Mayo F12 K660","F12 K660","2025-06-26",""
"DS17/08","High Street, Ballinrobe, Co Mayo","","2016-03-16","40000"
"DS17/09","High Street, Ballinrobe, Co Mayo","","2016-03-16","40000"
"DS17/10","High Street, Ballinrobe, Co Mayo","","2016-03-16","50000"
"DS17/38","Old Rugby Club, High St., Ballinrobe, Co Mayo","","2016-01-21","60000"
"DS17/46","Cornmarket, Ballinrobe, Co Mayo","","2011-10-18","70000"
"DS17/47","Bridge Street, Ballinrobe, Co Mayo","","2011-05-16","50000"
"DS17/48","Bridge Street, Ballinrobe, Co Mayo","","2011-08-05","50000"
"DS17/50","Glebe Street, Ballinrobe, Co Mayo F31 E767","F31 E767","2011-08-18","40000"
"DS17/52","Glebe Street, Ballinrobe, Co Mayo ""Farraghers Shop""","","2011-10-18","100000"
"DS17/54","""Old Garage"", Castlebar Road, Ballinrobe, Co Mayo","","2021-09-21","60000"
"DS17/56","Creagh Road, Ballinrobe, Co Mayo","","2011-10-07","60000"
"DS17/60","Bridge Street, Ballinrobe, Co Mayo","","2019-12-11","50000"
"DS17/65","""Mooneys"", Bridge Street, Ballinrobe, Co Mayo F31 AK54","F31 AK54","2021-11-09","150000"
"DS17/67","Lough Mask Road, Ballinrobe, Co Mayo F31 FK53","F31 FK53","2022-07-22","150000"
"DS17/71","Convent Road, Ballinrobe, Co Mayo","","2022-10-06","40000002000000"
"DS17/77","Bowgate Street, Ballinrobe, Co Mayo F31 H322","F31 H322","2023-03-07","150000"
"DS2025/13","88 New Street, Ballinrobe, Co Mayo F31 X337","F31 X337","2025-06-24",""
"DS2025/26","Cloonnagashel, Ballinrobe, Co Mayo F31 KX73","F31 KX73","2025-06-24",""
"DS2025/14","87 New Street, Ballinrobe, Co Mayo","","2025-06-30","100000"
"DS2025/25","Glenview, 49 Abbey Street, Ballinrobe, Co Mayo F31 T671","F31 T671","2025-06-30",""
"DS2025/24","54 Abbey Street, Ballinrobe, Co Mayo F31 Y192","F31 Y192","2025-06-30",""
"DS2025/23","Abbey Street, Ballinrobe, Co Mayo F31 A466","F31 A466","2025-06-30",""
"DS2025/56","11 Hazel Court, Convent Road, Ballinrobe, Co Mayo F31 YK83","F31 YK83","2025-12-03",""
"DS2025/57","Apartment Buildings & Shop Units at Hazel Court, Convent Road, Ballinrobe, Co Mayo F31 K461","F31 K461","2025-12-22",""
"DS2025/58","Apartment Buildings & Shop Units at Hazel Court, Convent Road, Ballinrobe, Co Mayo F31 XF34","F31 XF34","2025-12-22",""
"DS2025/59","Apartment Buildings & Shop Units at Hazel Court, Convent Road, Ballinrobe, Co Mayo F31 R981","F31 R981","2025-12-22",""
"DS2025/60","Apartment Buildings & Shop Units at Hazel Court, Convent Road, Ballinrobe, Co Mayo F31 H562","F31 H562","2025-12-22",""
"DS2025/61","Apartment Buildings & Shop Units at Hazel Court, Convent Road, Ballinrobe, Co Mayo F31 T025","F31 T025","2025-12-22",""
"DS2025/62","Apartment Buildings & Shop Units at Hazel Court, Convent Road, Ballinrobe, Co Mayo F31 AN81","F31 AN81","2025-12-22",""
"DS18/13","Barrack Street, Ballyhaunis, Co Mayo","","2021-11-16","60000157812000047022"
"DS18/14","Barrack Street, Ballyhaunis, Co Mayo","","2019-06-28","20000"
"DS18/26","Clare Road, Ballyhaunis, Co Mayo","","2018-10-30","25000"
"DS18/50","""Dillon's"", Main Street & Knox Stret, Ballyhaunis, Co Mayo F25XP63","F25 XP63","2021-11-09","70000"
"DS18/53","Abbeyquarter, Ballyhaunis, Co Mayo","","2012-04-02","120000"
"DS18/54","Knock Rd., Ballyhaunis, Co Mayo","","2019-06-28","70000"
"DS18/61","Old Larganboy School, Larganboy East, Co Mayo","","2019-10-16","60000"
"DS18/62","Bridge Street, Ballyhaunis, Co Mayo F35 FP20","F35 FP20","2019-07-08","40000"
"DS18/65","""McCabe House"", Abbey Street, Ballyhaunis, Co Mayo","","2020-01-15","40000"
"DS18/67","Old Shed/Garage, Carrownluggan, Ballyhaunis, Co Mayo","","2020-04-03","80000"
"DS18/71","Abbeyquarter, Ballyhaunis, Co Mayo","","2020-04-14","120000"
"DS2025/08","37 Barley Hill Court, Bohola, Co Mayo F12 NN88","F12 NN88","2025-03-14",""
"DS20/04","Ballagh Street - Dwelling House, Charlestown, Co Mayo","","2020-07-08","160000"
"DS20/06","Mark C. Henry Lane - Dwelling House, Charlestown, Co Mayo","","2020-07-17","50000"
"DS20/07","Market Square, Charlestown, Co Mayo","","2020-07-17","70000"
"DS20/09","Chapel Street, Charlestown, Co Mayo","","2020-07-17","120000"
"DS20/12","JF Mechanical Engineering, Lowpark, Charlestown, Co Mayo F12 K235","F12 K235","2020-07-17","200000"
"DS20/13","Ballagh Street, Charlestown, Co Mayo F12 KN66","F12 KN66","2022-05-05","70000"
"DS19/32","James Street, Claremorris, Co Mayo","","2011-05-11","235000"
"DS19/33","Adjacent to Town Hall, Claremorris, Co Mayo","","2011-08-18","125000"
"DS19/36","26 Clareville, Claremorris, Co Mayo F12E821","F12 E821","2023-02-22","80000"
"DS19/37","27 Clareville, Claremorris, Co Mayo","","2023-02-22","60000"
"DS19/40","Mount Street, Claremorris, Co Mayo F12D2E4","F12 D2E4","2019-10-10","70000"
"DS19/42","Cash For Clothes, The Square, Claremorris, Co Mayo","","2019-10-16","70000"
