ref,address,eircode,date_entered,easting,northing
"TRT.25.010","b) E91 F896 Market Place SC (formerly Mai’s Café)","E91 F896","2025-07-10","",""
"TRT.25.010","c) E91 HY92 Unit D1 Market Place SC","E91 HY92","2025-07-10","",""
"TRT.25.010","d) E91 WV62 Unit D2 Market Place SC","E91 WV62","2025-07-10","",""
"TRT.25.010","e) E91 F3A4 Unit D3 Market Place SC","E91 F3A4","2025-07-10","",""
"TRT.25.010","f) E91 E192 Units F1 & F2 Market Place SC","E91 E192","2025-07-10","",""
"TRT.25.010","g) E91 HP02 Unit B1 Market Place SC","E91 HP02","2025-07-10","",""
"TRT.25.010","h) E91 KH67 Unit B2 Market Place SC","E91 KH67","2025-07-10","",""
"TRT.25.010","i) E91 XP76 Unit B4 Market Place SC","E91 XP76","2025-07-10","",""
"TRT.25.010","j) E91 P2X0 Unit B6 Market Place SC","E91 P2X0","2025-07-10","",""
"TRT.25.010","k) E91 H4F1 Unit B7 Market Place SC","E91 H4F1","2025-07-10","",""
"TRT.25.010","l) E91 PF53 Unit B8 Market Place","E91 PF53","2025-07-10","",""
"TRT.25.012","Former Superquinn / Supervalu, Market Place, Clonmel, Co. Tipperary","","2025-07-10","",""
"TRT.25.013","6 Catherine Street, Clonmel, Co. Tipperary","","2025-07-10","",""
"TRT.25.015","Suir Vale House, 8 Dillon Street, Clonmel, Co. Tipperary","","2025-07-10","",""
"TRT.25.016","6 Wolfe Tone Street, Clonmel, Co. Tipperary","","2025-07-10","",""
"TRT.25.017","9 Anglesea Street, Clonmel","","2025-09-17","",""
"TRT.25.018","11 Dillon Street, Tipp Town","","2025-09-17","",""
"TRT.25.022","12 Columba Terrace, Thurles","","2025-09-17","",""
"ENV-C-17-27","25 Morton Street, Clonmel","","2025-09-17","",""
"TRT.25.026","17 Davis Terrace, Davis Street, Clonmel","","2025-09-17","",""
"ENV-C-24-(2-25)","No. 21 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 57 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 60 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 61 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 62 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 63 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 64 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 65 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 66 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 67 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 69 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 71 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 73 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 74 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 75 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 76 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 77 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 78 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 79 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 80 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 81 Glen Court, Emly","","2025-10-01","",""
