ref,address,date_entered
"DSP 2105","60 Watercourse Road, Blackpool, Cork (formerly The Distillery bar)","2023-04-21"
"DSP 2086","1 & 2 High Street, Douglas Road, Cork","2023-08-11"
"DSP 2118","38/39 Washington Street, Cork","2023-08-11"
"DSP 2028","14 Father Mathew Quay, Cork","2023-09-01"
"DSP 2059","4 Keeffe Street, Cork","2023-09-08"
"DSP 2090","18 Churchfield Road, Cork","2023-09-29"
"DSP 2007","48 Ballyhooly Road","2023-10-20"
"DSP 2068","2 Togher Road","2023-10-20"
"DSP 2082","4 Hillsboro Place, Old Blackrock Road, Ballintemple","2023-10-20"
"DSP 2071","Nos. 1, 2 & 3 Saint Michael's Terrace, Blackrock Road, Cork","2023-10-27"
"DSP 2171","Formerly the Roisin Dubh pub, 15 Cattle Market Avenue, off Shandon Street, Cork","2023-10-27"
"DSP 1554","68 & 69 Watercourse Road","2023-11-17"
"DSP 2157","5 Springview Terrace, Commons Road, Cork","2023-11-17"
"DSP 1867","""Saint Benedict's"", 11 Rossa Avenue, Bishopstown","2023-11-17"
"DSP 1920","15 George's Quay, Cork","2023-11-17"
"DSP 2158","221 Blarney Road, Sunday's Well, Cork (Formerly Kennedy's Bar)","2023-11-17"
"DSP 1922","Site adjacent to Pinecroft Inn, Grange Road, Douglas, Cork","2023-11-17"
"DSP 1973","Belmont, Rochestown, Cork","2023-11-17"
"DSP 1733","21 Old Market Place, Cork","2023-11-17"
"DSP 2159","Site at Berwick Lane (across from Berwick House), Blackpool, Cork","2023-11-17"
"DSP 1990","The Rochestown Inn, Rochestown Road, Cork","2023-11-24"
"DSP 2063","The High House, 110 Blarney Street","2023-12-01"
"DSP 2166","Site fronting Wellington Road & York Street, Cork","2023-12-01"
"DSP 2134","Ballinglanna, Glanmire, Cork","2023-12-01"
"DSP 1555","70 Watercourse Road, Corner of Berwick Lane, Blackpool","2023-12-01"
"DSP 2113","7 Watercourse Road (formerly The Revenue bar), Blackpool","2023-12-22"
"DSP 2140","4 Dublin Hill Middle","2023-12-22"
"DSP 1769","35 Windmill Road","2024-01-19"
"DSP 2146","Riverstown, Glanmire, Cork (adjoining the Riverstown Inn)","2024-01-26"
"DSP 2018","61 North Main Street","2024-02-02"
"DSP 2151","The Former Finbarr Galvin Motors, Wilton Road, Victoria Cross, Cork","2024-03-08"
"DSP 2187","66 Meadow Grove Estate, Blackrock, Cork","2024-04-12"
"DSP 1951","116 Lower Glanmire Road, Cork","2024-05-03"
"DSP 1995","32 South Terrace, Cork","2024-05-03"
"DSP 2043","Loughlee, Western Road, Mardyke, Cork","2024-05-17"
"DSP 2221","Site between 8 Seminary Road and 9 Seminary Road, Blackpool, Cork","2024-05-17"
"DSP 1994","33 South Terrace, Cork","2024-06-21"
"DSP 2212","7a Coburg Lane, Coburg Street, Cork, T23A8H3","2024-06-21"
"DSP 1269","40 Cathedral Walk, Blackpool, Cork","2024-06-28"
"DSP 1897","7 Matthew Place, Blackrock Road, Ballintemple, Cork,T12A0DX","2024-07-05"
"DSP 2070","15 Friars Walk, Cork, T12H67C","2024-07-12"
"DSP 2238","(Formerly Cremin Drycleaners and BOI), East Douglas Street, Douglas, Cork","2024-08-02"
"DSP 2219","Property next to 1 Rock Cottages, Kileens, Rathpeacon, Co. Cork","2024-08-02"
"DSP 1946","45 Spring Lane, Blackpool, Cork","2024-08-02"
"DSP 1937","43 Uam Var Drive, Bishopstown, Cork","2024-08-02"
"DSP 2180","16 Sidney Place, Wellington Road, Cork","2024-08-30"
"DSP 1579","1 The Crescent, Lough Road, Cork","2024-08-23"
"DSP 2060","Temple View, Beaumont Avenue, Blackrock Road, Cork","2024-09-13"
"DSP 2222","Woodside Cottage, Poulacurry South, Glanmire Road, Glanmire,","2024-09-27"
"DSP 2147","Cork Hollyhill Inn, Courtown Drive, Hollyhill, Cork","2024-09-27"
"DSP 1825","Former Angel Guardian Boys School, Springfield Road, Cork","2024-10-25"
"DSP 1727","88 Barrack Street, Cork","2024-11-15"
"DSP 1710","9 South Main Street, Cork","2024-11-22"
"DSP 1633","Woolhara House, Douglas Road, Cork","2025-02-14"
"DSP 2250","10 Kyle Street, Cork T12 T0V2","2025-03-07"
"DSP 2188","7 Popham's Road, Farranree, Cork","2025-05-26"
